Iteration = 1	Relative Residual = 0.5134
Iteration = 2	Relative Residual = 0.375725
Iteration = 3	Relative Residual = 0.31051
Iteration = 4	Relative Residual = 0.254582
Iteration = 5	Relative Residual = 0.217775
Iteration = 6	Relative Residual = 0.17382
Iteration = 7	Relative Residual = 0.14577
Iteration = 8	Relative Residual = 0.103578
Iteration = 9	Relative Residual = 0.0797822
Iteration = 10	Relative Residual = 0.0321535
Iteration = 11	Relative Residual = 0.0150014
Iteration = 12	Relative Residual = 0.0112656
Iteration = 13	Relative Residual = 0.00888134
Iteration = 14	Relative Residual = 0.00605513
Iteration = 15	Relative Residual = 0.00438705
Iteration = 16	Relative Residual = 0.00330324
Iteration = 17	Relative Residual = 0.00261421
Iteration = 18	Relative Residual = 0.00195484
Iteration = 19	Relative Residual = 0.00151323
Iteration = 20	Relative Residual = 0.00116089
Iteration = 21	Relative Residual = 0.000902157
Iteration = 22	Relative Residual = 0.000719329
Iteration = 23	Relative Residual = 0.000580715
Iteration = 24	Relative Residual = 0.000431611
Iteration = 25	Relative Residual = 0.000324436
Iteration = 26	Relative Residual = 0.000226195
Iteration = 27	Relative Residual = 0.000161113
Iteration = 28	Relative Residual = 0.000113797
Iteration = 29	Relative Residual = 8.23093e-05
Iteration = 30	Relative Residual = 6.23113e-05
Iteration = 31	Relative Residual = 4.84933e-05
Iteration = 32	Relative Residual = 3.85417e-05
Iteration = 33	Relative Residual = 3.10803e-05
Iteration = 34	Relative Residual = 2.50745e-05
Iteration = 35	Relative Residual = 2.05578e-05
Iteration = 36	Relative Residual = 1.63704e-05
Iteration = 37	Relative Residual = 1.32629e-05
Iteration = 38	Relative Residual = 1.04573e-05
Iteration = 39	Relative Residual = 8.34599e-06
Iteration = 40	Relative Residual = 6.45906e-06
Iteration = 41	Relative Residual = 5.03739e-06
Iteration = 42	Relative Residual = 3.82411e-06
Iteration = 43	Relative Residual = 2.93101e-06
Iteration = 44	Relative Residual = 2.24578e-06
Iteration = 45	Relative Residual = 1.74348e-06
Iteration = 46	Relative Residual = 1.39755e-06
Iteration = 47	Relative Residual = 1.12781e-06
Iteration = 48	Relative Residual = 9.18387e-07
Iteration = 49	Relative Residual = 7.39669e-07
Iteration = 50	Relative Residual = 5.9468e-07
Iteration = 51	Relative Residual = 4.86163e-07
Iteration = 52	Relative Residual = 3.91273e-07
Iteration = 53	Relative Residual = 3.16009e-07
Iteration = 54	Relative Residual = 2.51872e-07
Iteration = 55	Relative Residual = 2.01686e-07
Iteration = 56	Relative Residual = 1.59e-07
Iteration = 57	Relative Residual = 1.2582e-07
Iteration = 58	Relative Residual = 9.8927e-08
Iteration = 59	Relative Residual = 7.77332e-08
Iteration = 60	Relative Residual = 6.06911e-08
Iteration = 61	Relative Residual = 4.75232e-08
Iteration = 62	Relative Residual = 3.68089e-08
Iteration = 63	Relative Residual = 2.86166e-08
Iteration = 64	Relative Residual = 2.2198e-08
Iteration = 65	Relative Residual = 1.70054e-08
Iteration = 66	Relative Residual = 1.29747e-08
Iteration = 67	Relative Residual = 9.87165e-09


Iterations = 67	Final Relative Residual = 9.871647e-09	Time for computation = 0.250000 s
